iter	Passed	Remaining
423	1716	2332
424	1719	2326
425	1722	2320
426	1725	2315
427	1728	2309
428	1731	2304
429	1734	2299
430	1737	2293
431	1740	2288
432	1743	2282
433	1746	2277
434	1749	2272
435	1752	2266
436	1755	2261
437	1758	2255
438	1761	2250
439	1765	2247
440	1768	2242
441	1771	2236
442	1774	2231
443	1777	2226
444	1780	2221
445	1783	2215
446	1786	2210
447	1789	2205
448	1792	2200
449	1795	2194
450	1798	2189
451	1801	2184
452	1804	2179
453	1807	2174
454	1810	2169
455	1813	2163
456	1816	2158
457	1819	2153
458	1822	2148
459	1825	2143
460	1828	2137
461	1831	2132
462	1834	2127
463	1837	2122
464	1840	2117
465	1843	2112
466	1846	2106
467	1848	2101
468	1852	2097
469	1855	2092
470	1858	2087
471	1861	2082
472	1864	2076
473	1867	2072
474	1870	2067
475	1873	2062
476	1876	2057
477	1879	2052
478	1882	2047
479	1885	2042
480	1888	2037
481	1891	2032
482	1893	2027
483	1897	2022
484	1900	2017
485	1902	2012
486	1905	2007
487	1908	2002
488	1911	1997
489	1915	1994
490	1919	1989
491	1922	1984
492	1925	1980
493	1928	1975
494	1931	1970
495	1934	1965
496	1937	1960
497	1940	1956
498	1943	1951
499	1946	1946
500	1949	1941
501	1952	1936
502	1955	1931
503	1958	1927
504	1960	1922
505	1963	1917
506	1966	1912
507	1969	1907
508	1973	1903
509	1976	1898
510	1979	1893
511	1982	1889
512	1984	1884
513	1988	1879
514	1991	1875
515	1994	1870
516	1997	1865
517	2000	1861
518	2003	1856
519	2006	1852
520	2009	1847
521	2012	1842
522	2015	1837
523	2018	1833
524	2021	1828
525	2023	1823
526	2026	1819
527	2029	1814
528	2032	1809
529	2035	1805
530	2038	1800
531	2041	1795
532	2044	1791
533	2049	1788
534	2056	1787
535	2059	1782
536	2062	1778
537	2065	1773
538	2068	1769
539	2071	1764
540	2074	1760
541	2077	1755
542	2080	1751
543	2083	1746
544	2086	1741
545	2089	1737
546	2092	1732
547	2095	1728
548	2098	1723
549	2101	1719
550	2104	1714
551	2107	1710
552	2110	1705
553	2113	1701
554	2116	1696
555	2119	1692
556	2122	1687
557	2124	1683
558	2127	1678
559	2130	1674
560	2133	1669
561	2137	1665
562	2140	1661
563	2143	1656
564	2146	1652
565	2149	1648
566	2152	1643
567	2155	1639
568	2158	1635
569	2161	1630
570	2165	1626
571	2168	1622
572	2171	1618
573	2174	1614
574	2177	1609
575	2180	1605
576	2183	1601
577	2186	1596
578	2189	1592
579	2192	1587
580	2195	1583
581	2198	1578
582	2201	1574
583	2204	1570
584	2207	1565
585	2210	1561
586	2212	1556
587	2215	1552
588	2218	1548
589	2221	1543
590	2224	1539
591	2227	1535
592	2230	1530
593	2233	1526
594	2235	1521
595	2238	1517
596	2241	1513
597	2244	1508
598	2247	1504
599	2250	1500
600	2252	1495
601	2258	1493
602	2261	1488
603	2264	1484
604	2267	1480
605	2270	1476
606	2273	1471
607	2276	1467
608	2279	1463
609	2282	1459
610	2285	1454
611	2287	1450
612	2290	1446
613	2293	1441
614	2296	1437
615	2299	1433
616	2305	1431
617	2310	1428
618	2314	1424
619	2317	1420
620	2321	1416
621	2325	1413
622	2328	1409
623	2332	1405
624	2335	1401
625	2338	1396
626	2341	1393
627	2344	1388
628	2347	1384
629	2350	1380
630	2353	1376
631	2357	1372
632	2361	1369
633	2364	1365
634	2368	1361
635	2371	1357
636	2374	1353
637	2377	1349
638	2381	1345
639	2384	1341
640	2387	1336
641	2390	1332
642	2393	1328
643	2396	1324
644	2399	1320
645	2402	1316
646	2405	1312
647	2407	1308
648	2410	1303
649	2414	1300
650	2417	1295
651	2420	1291
652	2423	1287
653	2426	1283
654	2429	1279
655	2433	1275
656	2436	1271
657	2438	1267
658	2441	1263
659	2446	1260
660	2449	1256
661	2452	1252
662	2455	1248
663	2458	1244
664	2461	1239
665	2464	1235
666	2467	1231
667	2470	1227
668	2473	1224
669	2477	1220
670	2479	1215
671	2483	1211
672	2486	1207
673	2489	1203
674	2492	1199
675	2494	1195
676	2497	1191
677	2500	1187
678	2504	1183
679	2506	1179
680	2509	1175
681	2512	1171
682	2515	1167
683	2518	1163
684	2522	1159
685	2525	1155
686	2528	1152
687	2532	1148
688	2535	1144
689	2540	1141
690	2543	1137
691	2547	1133
692	2550	1129
693	2553	1125
694	2556	1121
695	2559	1118
696	2563	1114
697	2566	1110
698	2569	1106
699	2572	1102
700	2575	1098
701	2579	1095
702	2582	1091
703	2586	1087
704	2589	1083
705	2592	1079
706	2595	1075
707	2599	1071
708	2602	1067
709	2605	1064
710	2608	1060
711	2612	1056
712	2615	1052
713	2618	1048
714	2621	1045
715	2625	1041
716	2628	1037
717	2631	1033
718	2634	1029
719	2638	1025
720	2641	1022
721	2644	1018
722	2647	1014
723	2651	1010
724	2654	1006
725	2658	1003
726	2661	999
727	2664	995
728	2667	991
729	2671	988
730	2676	984
731	2680	981
732	2683	977
733	2687	973
734	2690	970
735	2694	966
736	2697	962
737	2700	958
738	2704	955
739	2707	951
740	2711	947
741	2714	943
742	2718	940
743	2724	937
744	2729	934
745	2732	930
746	2736	926
747	2739	922
748	2742	919
749	2746	915
750	2750	911
751	2754	908
752	2757	904
753	2761	900
754	2764	897
755	2767	893
756	2771	889
757	2774	885
758	2777	882
759	2781	878
760	2784	874
761	2787	870
762	2791	866
763	2794	863
764	2797	859
765	2801	855
766	2805	852
767	2808	848
768	2811	844
769	2815	840
770	2818	837
771	2821	833
772	2825	829
773	2828	825
774	2831	822
775	2834	818
776	2837	814
777	2840	810
778	2844	806
779	2847	803
780	2850	799
781	2853	795
782	2856	791
783	2859	787
784	2862	784
785	2866	780
786	2869	776
787	2872	772
788	2875	768
789	2878	765
790	2881	761
791	2884	757
792	2887	753
793	2891	750
794	2894	746
795	2898	742
796	2900	738
797	2903	735
798	2906	731
799	2910	727
800	2913	723
801	2916	720
802	2919	716
803	2922	712
804	2925	708
805	2929	705
806	2933	701
807	2936	697
808	2939	694
809	2944	690
810	2947	686
811	2950	683
812	2953	679
813	2956	675
814	2959	671
815	2963	668
816	2966	664
817	2970	660
818	2973	657
819	2977	653
820	2980	649
821	2983	646
822	2987	642
823	2990	638
824	2993	635
825	2996	631
826	2999	627
827	3002	623
828	3005	620
829	3008	616
830	3011	612
831	3014	608
832	3017	604
833	3020	601
834	3023	597
835	3026	593
836	3029	589
837	3032	586
838	3035	582
839	3038	578
840	3041	575
841	3044	571
842	3047	567
843	3051	564
844	3055	560
845	3058	556
846	3061	552
847	3064	549
848	3067	545
849	3070	541
850	3073	538
851	3076	534
852	3079	530
853	3082	526
854	3084	523
855	3087	519
856	3090	515
857	3094	512
858	3096	508
859	3099	504
860	3103	501
861	3109	497
862	3112	494
863	3116	490
864	3119	486
865	3122	483
866	3125	479
867	3128	475
868	3132	472
869	3135	468
870	3138	464
871	3141	461
872	3144	457
873	3147	453
874	3150	450
875	3153	446
876	3156	442
877	3159	439
878	3162	435
879	3166	431
880	3169	428
881	3172	424
882	3174	420
883	3177	416
884	3181	413
885	3184	409
886	3187	406
887	3190	402
888	3193	398
889	3196	395
890	3199	391
891	3202	387
892	3205	384
893	3208	380
894	3213	376
895	3217	373
896	3220	369
897	3223	366
898	3226	362
899	3231	359
900	3234	355
901	3237	351
902	3240	348
903	3243	344
904	3247	340
905	3250	337
906	3253	333
907	3255	329
908	3259	326
909	3262	322
910	3265	319
911	3268	315
912	3271	311
913	3274	308
914	3278	304
915	3282	300
916	3284	297
917	3288	293
918	3291	290
919	3295	286
920	3298	282
921	3301	279
922	3305	275
923	3309	272
924	3313	268
925	3316	265
926	3320	261
927	3325	257
928	3328	254
929	3331	250
930	3334	247
931	3337	243
932	3341	239
933	3344	236
934	3347	232
935	3350	229
936	3353	225
937	3357	221
938	3360	218
939	3363	214
940	3366	211
941	3369	207
942	3372	203
943	3375	200
944	3378	196
945	3381	193
946	3384	189
947	3387	185
948	3390	182
949	3393	178
950	3396	175
951	3399	171
952	3402	167
953	3407	164
954	3410	160
955	3413	157
956	3415	153
957	3418	149
958	3421	146
959	3424	142
960	3427	139
961	3430	135
962	3433	131
963	3437	128
964	3445	124
965	3448	121
966	3451	117
967	3454	114
968	3457	110
969	3460	107
970	3463	103
971	3466	99
972	3469	96
973	3472	92
974	3475	89
975	3479	85
976	3482	81
977	3485	78
978	3488	74
979	3491	71
980	3496	67
981	3499	64
982	3502	60
983	3505	57
984	3508	53
985	3511	49
986	3514	46
987	3517	42
988	3520	39
989	3523	35
990	3526	32
991	3529	28
992	3532	24
993	3535	21
994	3538	17
995	3541	14
996	3544	10
997	3547	7
998	3550	3
999	3553	0
