iter	Logloss
0	0.6910166839
1	0.6892882702
2	0.6876008011
3	0.6857404729
4	0.6844395045
5	0.6831297055
6	0.6808661653
7	0.6796914116
8	0.6781476895
9	0.6769537183
10	0.6751506925
11	0.6732862724
12	0.6714460117
13	0.6697103616
14	0.6685441048
15	0.6669209467
16	0.66574239
17	0.6643606012
18	0.6622956949
19	0.6609378762
20	0.658901093
21	0.6571432967
22	0.6557775163
23	0.6545207317
24	0.6535811909
25	0.6521719078
26	0.6508595441
27	0.6493384964
28	0.6473657016
29	0.6456276924
30	0.6433709604
31	0.6411855648
32	0.6389748419
33	0.637308474
34	0.6359727916
35	0.6347379033
36	0.6328380708
37	0.631410375
38	0.630086488
39	0.6289521945
40	0.6273188013
41	0.6260282503
42	0.6247313175
43	0.6233847874
44	0.6224705467
45	0.6205269255
46	0.6195298668
47	0.6181656356
48	0.61646349
49	0.615313089
50	0.6133882528
51	0.6111026612
52	0.6095127455
53	0.6084596211
54	0.6067726473
55	0.6055024911
56	0.60463576
57	0.6028242876
58	0.6016474504
59	0.6004120972
60	0.5989357616
61	0.5974157014
62	0.59625994
63	0.5953373756
64	0.5942069349
65	0.5922792632
66	0.5908530677
67	0.5899624327
68	0.5890472525
69	0.5878150675
70	0.5864696554
71	0.585057665
72	0.5831897827
73	0.5816281608
74	0.5802332326
75	0.5794598479
76	0.5786735784
77	0.5771343799
78	0.5760986407
79	0.5748820873
80	0.5735323028
81	0.5721888099
82	0.57111546
83	0.5703573167
84	0.5691502344
85	0.5680444979
86	0.5670041882
87	0.56577255
88	0.5648548967
89	0.5642152054
90	0.5634353683
91	0.5616033002
92	0.5605218985
93	0.558878562
94	0.5576682522
95	0.5565705856
96	0.5552945554
97	0.5544374008
98	0.5530115554
99	0.551929719
100	0.5506814576
101	0.5500811766
102	0.5487063721
103	0.5472183366
104	0.5458663853
105	0.5444003781
106	0.5433799597
107	0.542054144
108	0.5409082375
109	0.5399814521
110	0.5388396519
111	0.5382636162
112	0.5375204424
113	0.5366797761
114	0.5356534096
115	0.5344523978
116	0.5333356073
117	0.5324760405
118	0.5312886753
119	0.5309018491
120	0.5296914417
121	0.5287880642
122	0.5274334911
123	0.5265426734
124	0.5254623846
125	0.5240654408
126	0.5232073845
127	0.5224029779
128	0.5216235169
129	0.5205347871
130	0.519529684
131	0.518365929
132	0.5170667494
133	0.5160958109
134	0.5152777673
135	0.5144092285
136	0.5133191886
137	0.5121672109
138	0.5111275351
139	0.5095116493
140	0.508652913
141	0.507741325
142	0.5063868024
143	0.5054543893
144	0.5037607537
145	0.5029067742
146	0.5017924503
147	0.5012244164
148	0.4997136772
149	0.4989628024
150	0.4975955335
151	0.4967651599
152	0.4953679892
153	0.4940163476
154	0.4935058454
155	0.4928556942
156	0.4914232042
157	0.4907063373
158	0.4900957803
159	0.4891962347
160	0.4881398447
161	0.4864051824
162	0.485327985
163	0.4848854492
164	0.4837824545
165	0.4830433847
166	0.4822131475
167	0.4811450321
168	0.4802274885
169	0.4795216404
170	0.4788275794
171	0.4782006719
172	0.4773612654
173	0.4769070413
174	0.4757582237
175	0.4746785101
176	0.4737927344
177	0.472797578
178	0.4720056363
179	0.4710265459
180	0.4702784818
181	0.4696286934
182	0.469143699
183	0.4683979107
184	0.4676809932
185	0.4667297222
186	0.4657904932
187	0.4650708969
188	0.4641289547
189	0.4632848956
190	0.4622246458
191	0.4612128576
192	0.4608098672
193	0.4598570053
194	0.4590813173
195	0.4585697616
196	0.4578522437
197	0.4572530839
198	0.4566798214
199	0.4562305677
200	0.4555974084
201	0.4547489053
202	0.4541140545
203	0.4535197656
204	0.4527521932
205	0.4517358031
206	0.4510180312
207	0.4504066947
208	0.4499118185
209	0.4492550547
210	0.4482802934
211	0.447335199
212	0.4468433272
213	0.4460087521
214	0.4453904281
215	0.4446847019
216	0.4437155189
217	0.4430945103
218	0.4421155268
219	0.4411606537
220	0.4406248733
221	0.4397316913
222	0.4392906689
223	0.4385047857
224	0.4379778572
225	0.437391844
226	0.4366248193
227	0.4357804627
228	0.4350764897
229	0.4343252424
230	0.4331049478
231	0.432453905
232	0.4315721186
233	0.4305457122
234	0.4298371798
235	0.4289641612
236	0.4278893715
237	0.4270620016
238	0.426181121
239	0.4257710654
240	0.4253211691
241	0.4243322804
242	0.4237006896
243	0.4228223827
244	0.4219629797
245	0.4212277728
246	0.420451342
247	0.4196423967
248	0.4187221772
249	0.418324899
250	0.418212449
251	0.4172920297
252	0.4166125648
253	0.4156738964
254	0.4149358074
255	0.4143273075
256	0.4138089551
257	0.4130841975
258	0.412326332
259	0.4116780295
260	0.4110612864
261	0.4101787979
262	0.409686221
263	0.4088598413
264	0.4081912969
265	0.4070812309
266	0.4059327369
267	0.4055655055
268	0.4050031605
269	0.4042494523
270	0.4040249871
271	0.4033563475
272	0.402487184
273	0.4017335829
274	0.4011959918
275	0.4005588228
276	0.3998203903
277	0.399406338
278	0.3984303627
279	0.3978867734
280	0.3969132724
281	0.3961125201
282	0.3956150402
283	0.394291616
284	0.3933159416
285	0.3926859316
286	0.3922319917
287	0.3910778785
288	0.3905309725
289	0.3897723597
290	0.3891788814
291	0.3886406109
292	0.3878043009
293	0.3869462065
294	0.3864494137
295	0.3859959651
296	0.3854566821
297	0.3849600478
298	0.3846460773
299	0.3840705444
300	0.3836188049
301	0.3832726325
302	0.3827732796
303	0.3820617951
304	0.3813610298
305	0.3808066309
306	0.3803974082
307	0.3802261002
308	0.379749248
309	0.3791583576
310	0.3786740749
311	0.3781714317
312	0.3775692962
313	0.3770665741
314	0.376584454
315	0.3760500718
316	0.3755610162
317	0.3748662547
318	0.37394671
319	0.3735377546
320	0.3728078944
321	0.3725131616
322	0.3720523346
323	0.3715869284
324	0.371080737
325	0.3707444438
326	0.3703946448
327	0.3700087264
328	0.3694080042
329	0.3690474395
330	0.3680520365
331	0.367519399
332	0.3671298688
333	0.3666493762
334	0.3662315876
335	0.3656593356
336	0.365164314
337	0.3646596581
338	0.3639112234
339	0.3631712832
340	0.3627556324
341	0.3622820655
342	0.3613605994
343	0.3607721719
344	0.3599299662
345	0.3592923191
346	0.358651184
347	0.3580857165
348	0.3573462043
349	0.3565878406
350	0.356249987
351	0.3556727451
352	0.3550474906
353	0.3542898122
354	0.3541327904
355	0.3536478086
356	0.3531554272
357	0.3525540659
358	0.3519880711
359	0.3513707944
360	0.3505245709
361	0.3497969265
362	0.34923731
363	0.3483274392
364	0.3478043868
365	0.3473389457
366	0.3467826609
367	0.3463660338
368	0.3459333399
369	0.3456533108
370	0.3452810081
371	0.344936829
372	0.344323312
373	0.3439940923
374	0.3435086635
375	0.3430192106
376	0.3425540158
377	0.3419128427
378	0.3414874793
379	0.3408762728
380	0.3399820463
381	0.3395850409
382	0.3392671347
383	0.3389539437
384	0.3384430024
385	0.337995999
386	0.3375661831
387	0.3371367529
388	0.3366035546
389	0.3360739291
390	0.3355464122
391	0.3352891594
392	0.3349928646
393	0.3347945007
394	0.334455683
395	0.3335590605
396	0.3330793506
397	0.3325605734
398	0.3320546228
399	0.33164267
400	0.3312167743
401	0.3307449578
402	0.3301613245
403	0.3297577431
404	0.329352937
405	0.3290360061
406	0.3283591531
407	0.327860989
408	0.327234236
409	0.3268654738
410	0.3266039712
411	0.3262339483
412	0.3258448469
413	0.3257532186
414	0.3254007583
415	0.3250837179
416	0.3246881458
417	0.3243732696
418	0.3240251465
419	0.3234044103
420	0.3230533765
421	0.3227288697
422	0.3221380907
423	0.3219239994
424	0.3217110558
425	0.3213836607
426	0.3211464544
427	0.3207106258
428	0.3200384616
429	0.319487619
430	0.319178469
431	0.318729843
432	0.3184248898
433	0.317896801
434	0.3176275001
435	0.3173250104
436	0.317032834
437	0.3163493171
438	0.3157571812
439	0.315563257
440	0.3153036226
441	0.3148966525
442	0.3145191705
443	0.314304687
444	0.3139357092
445	0.3135716745
446	0.3131711587
447	0.3124941359
448	0.311844682
449	0.3113117272
450	0.3108066762
451	0.3103441161
452	0.3099698316
453	0.3096411785
454	0.3092630163
455	0.3087254695
456	0.308222587
457	0.3077916591
458	0.3075904464
459	0.3072270697
460	0.3068759507
461	0.3066647034
462	0.3064872146
463	0.3059177885
464	0.3054980228
465	0.3049421887
466	0.3042503476
467	0.303630663
468	0.303285057
469	0.3028347955
470	0.3023475994
471	0.3018835185
472	0.3013291626
473	0.3008570353
474	0.3004932983
475	0.2998515827
476	0.2996537009
477	0.2991457228
478	0.2986562192
479	0.2982943786
480	0.2979551803
481	0.2977539606
482	0.2971878036
483	0.2968307075
484	0.2965261439
485	0.2961378865
486	0.295876335
487	0.2955756679
488	0.2951052677
489	0.2946824574
490	0.2943319233
491	0.2938191455
492	0.2932770468
493	0.2930724578
494	0.2926231965
495	0.2922037112
496	0.2919865122
497	0.2916331994
498	0.2913649643
499	0.290820866
500	0.2903433538
501	0.2900707615
502	0.2895201704
503	0.289249352
504	0.2889018463
505	0.2883055517
506	0.2878640936
507	0.2877135492
508	0.2874831161
509	0.2872362709
510	0.2869934625
511	0.2865669821
512	0.2861739824
513	0.2858741559
514	0.2852871639
515	0.2846485362
516	0.2842935528
517	0.2838627624
518	0.2835857583
519	0.2831042679
520	0.2827987948
521	0.2824382562
522	0.2819445144
523	0.2816894518
524	0.2810487154
525	0.280611957
526	0.2800006303
527	0.2797280378
528	0.2793213619
529	0.2791938634
530	0.2791131623
531	0.2788594537
532	0.2785938202
533	0.2782537646
534	0.2778279561
535	0.2775338166
536	0.2773014285
537	0.276791972
538	0.2764979312
539	0.2761851662
540	0.2758219213
541	0.2752663886
542	0.2749195664
543	0.2745033868
544	0.2740016434
545	0.2734806254
546	0.2732388367
547	0.2729858359
548	0.2728065386
549	0.2725632193
550	0.2720574187
551	0.2716830148
552	0.2714430351
553	0.2710883494
554	0.270666515
555	0.2702915878
556	0.2698697152
557	0.2693082422
558	0.2688484903
559	0.2686254464
560	0.268324156
561	0.2678380796
562	0.2675993015
563	0.2672156935
564	0.2665830539
565	0.2663600738
566	0.2658011704
567	0.2653826272
568	0.2648283437
569	0.2645497263
570	0.2642130295
571	0.2641031569
572	0.2636871677
573	0.2633789937
574	0.2632708008
575	0.2629661729
576	0.2626101132
577	0.2623898585
578	0.2621718804
579	0.2618819204
580	0.2614983079
581	0.2611717386
582	0.2607562682
583	0.2604664546
584	0.2602499377
585	0.259921715
586	0.2598679146
587	0.259612138
588	0.2593472643
589	0.2590701998
590	0.2587259885
591	0.2584449302
592	0.2580704325
593	0.2578483625
594	0.2575034506
595	0.2572370822
596	0.2570365929
597	0.2566576822
598	0.2560874481
599	0.2556646968
600	0.255426653
601	0.2552563123
602	0.2549242468
603	0.2546688119
604	0.2544217458
605	0.2542241001
606	0.253953038
607	0.2538321442
608	0.2535286377
609	0.2529896384
610	0.2528593504
611	0.2525765212
612	0.2522441649
613	0.2520615052
614	0.2518484214
615	0.2515284114
616	0.2512539134
617	0.2510393665
618	0.250704524
619	0.2503088031
620	0.2499895549
621	0.2497831253
622	0.2494782753
623	0.249380487
624	0.2492076653
625	0.2489712711
626	0.2487553224
627	0.2482386335
628	0.2479262894
629	0.247677768
630	0.247369062
631	0.2470300721
632	0.2468234444
633	0.2462288796
634	0.2456821963
635	0.2453808249
636	0.2448380446
637	0.2447006766
638	0.2443276646
639	0.2440343729
640	0.2437514079
641	0.2434500211
642	0.2431468951
643	0.2429455851
644	0.2425544655
645	0.2423378034
646	0.2421864513
647	0.2418597959
648	0.2416033323
649	0.2413002517
650	0.2410940602
651	0.2408690193
652	0.2404614611
653	0.2401466182
654	0.2399509088
655	0.2397341142
656	0.2392911265
657	0.2388460767
658	0.2385772624
659	0.2383093266
660	0.2379263628
661	0.2375888491
662	0.2372589586
663	0.2370332107
664	0.2366329616
665	0.2363661266
666	0.2359210037
667	0.2355103536
668	0.2352148501
669	0.2347683154
670	0.2343806812
671	0.2339765413
672	0.2337849319
673	0.2333155967
674	0.2331335285
675	0.2329233191
676	0.2326084268
677	0.23241155
678	0.2321346327
679	0.231957638
680	0.2312882442
681	0.2307443338
682	0.2303989776
683	0.2300427515
684	0.2298184763
685	0.2295817664
686	0.2292871696
687	0.2290417413
688	0.2286659517
689	0.2283978501
690	0.2281953893
691	0.2280407613
692	0.2277971349
693	0.2274609049
694	0.227133236
695	0.2266155987
696	0.2264749497
697	0.2263317564
698	0.2259908931
699	0.2256998266
700	0.2253544788
701	0.2250280238
702	0.2249586657
703	0.2246864766
704	0.2244939077
705	0.224297673
706	0.2238545807
707	0.2234113937
708	0.2229290194
709	0.2227583109
710	0.222465137
711	0.2219783618
712	0.221653927
713	0.2214003021
714	0.2210240392
715	0.2206992463
716	0.2205923351
717	0.2201383149
718	0.2199282295
719	0.2198280328
720	0.2195397916
721	0.2193877552
722	0.2190017014
723	0.2188331977
724	0.2182679771
725	0.2179839196
726	0.217812014
727	0.2174693205
728	0.2173236185
729	0.2169392286
730	0.2166137206
731	0.2163401189
732	0.216013651
733	0.2158951946
734	0.2156089763
735	0.2153189063
736	0.215017083
737	0.2146788404
738	0.2144219326
739	0.2140616965
740	0.2140060055
741	0.2137684974
742	0.2134058234
743	0.2132451285
744	0.21291905
745	0.2126103247
746	0.2123872618
747	0.2121908424
748	0.2119752593
749	0.2117439663
750	0.2113631479
751	0.2110730534
752	0.2109083711
753	0.2106128278
754	0.2104339847
755	0.2101084071
756	0.2099915785
757	0.2097874627
758	0.209594558
759	0.2093173087
760	0.208969011
761	0.2087744851
762	0.2083691039
763	0.2082093998
764	0.2079984055
765	0.2076708576
766	0.207407214
767	0.2070793283
768	0.2068733465
769	0.2065688029
770	0.2063415531
771	0.2061640055
772	0.2059606208
773	0.2057210339
774	0.2054819235
775	0.205206292
776	0.2049836639
777	0.2047352643
778	0.204429869
779	0.204250762
780	0.2039123913
781	0.2036342383
782	0.2033206515
783	0.2030887793
784	0.2028925861
785	0.2025437555
786	0.2022044876
787	0.2020500748
788	0.2016861513
789	0.201274536
790	0.2011703419
791	0.2009002831
792	0.2007916979
793	0.2007040889
794	0.2005419894
795	0.2003612212
796	0.2001689444
797	0.1999565093
798	0.1996443302
799	0.1992815811
800	0.1990715027
801	0.1989006715
802	0.1985710419
803	0.1983161953
804	0.1981221626
805	0.1979109161
806	0.1976337607
807	0.1973990851
808	0.1971411466
809	0.1969308234
810	0.1966154614
811	0.1963069608
812	0.1961227385
813	0.1958899153
814	0.1955895664
815	0.1953052608
816	0.1950073767
817	0.1947240089
818	0.194583486
819	0.1943498625
820	0.1940259065
821	0.1938434233
822	0.1936455845
823	0.1934230911
824	0.1933097524
825	0.1932040563
826	0.1926775741
827	0.1924511416
828	0.192175405
829	0.1919042
830	0.1917651346
831	0.1915418311
832	0.1913576706
833	0.1911309061
834	0.1909687391
835	0.1906421916
836	0.1902896975
837	0.1900533495
838	0.1897018682
839	0.1895399478
840	0.1892441733
841	0.1889243382
842	0.1888080165
843	0.1885533475
844	0.1884243508
845	0.1882740117
846	0.1880647909
847	0.1878069908
848	0.1876774962
849	0.1874532127
850	0.1872487448
851	0.1870173607
852	0.1867360813
853	0.1864248177
854	0.1862562371
855	0.1858829189
856	0.1855870337
857	0.1853117858
858	0.1852073708
859	0.1849239005
860	0.1845959312
861	0.1843509576
862	0.1841305276
863	0.1839396783
864	0.1838544181
865	0.1836957611
866	0.1835113854
867	0.1832580354
868	0.1830338677
869	0.1828755841
870	0.1827656565
871	0.1824468457
872	0.1822652177
873	0.1819641023
874	0.1816033911
875	0.1813534879
876	0.1812123005
877	0.1809790785
878	0.1807234829
879	0.1804449242
880	0.1801647566
881	0.1800551457
882	0.1798576318
883	0.1797903056
884	0.1795980655
885	0.1794755584
886	0.1793424679
887	0.1792758471
888	0.1789689866
889	0.1787491742
890	0.1785704901
891	0.1782882361
892	0.1779889422
893	0.1778945945
894	0.1777369882
895	0.1775702777
896	0.1774415538
897	0.1770597002
898	0.1768350305
899	0.1764507388
900	0.1761882394
901	0.1760436078
902	0.1758315895
903	0.1756330728
904	0.1753964301
905	0.1752909464
906	0.1751752363
907	0.1750460906
908	0.1749178097
909	0.1747070951
910	0.1744307224
