iter	Logloss
0	0.690651738
1	0.688046612
2	0.6855914017
3	0.6828384426
4	0.6809248603
5	0.6788720926
6	0.6770354656
7	0.6747345976
8	0.6729121051
9	0.6708643831
10	0.6687333685
11	0.6665161717
12	0.6642295411
13	0.6617833703
14	0.6599261499
15	0.6577135292
16	0.655129928
17	0.6536980054
18	0.6509975784
19	0.6488510897
20	0.646434461
21	0.64483791
22	0.6426307703
23	0.6404035767
24	0.6385120629
25	0.6360328598
26	0.6344291663
27	0.6332363102
28	0.6310015805
29	0.6294141517
30	0.6273339025
31	0.6255993737
32	0.6240109218
33	0.6228440745
34	0.6215929188
35	0.6200086043
36	0.6187509052
37	0.6169862241
38	0.6155194956
39	0.6138473392
40	0.6121031589
41	0.6102127677
42	0.6085714497
43	0.6063439069
44	0.6047844774
45	0.6033642944
46	0.6009474787
47	0.5996328676
48	0.5984084059
49	0.5962473499
50	0.5948616002
51	0.5929850979
52	0.591415534
53	0.5900734173
54	0.5888810156
55	0.5870742987
56	0.5857509351
57	0.5835161331
58	0.5824275619
59	0.5807774582
60	0.5790890865
61	0.5773657369
62	0.5755697363
63	0.5736530556
64	0.5721604419
65	0.5701267026
66	0.5680949386
67	0.5671006134
68	0.5660115356
69	0.5642932074
70	0.5629584126
71	0.561513275
72	0.5604436681
73	0.5591376025
74	0.5576533859
75	0.5560844869
76	0.5548393526
77	0.5531993315
78	0.5517647866
79	0.550003611
80	0.5489727144
81	0.5475094863
82	0.5462403168
83	0.5452240841
84	0.5437588775
85	0.542567046
86	0.5414328806
87	0.5402940439
88	0.539012755
89	0.5370098435
90	0.5359100815
91	0.534550437
92	0.5331589035
93	0.5321507706
94	0.5309446985
95	0.530058157
96	0.5284361192
97	0.5274773937
98	0.5263815068
99	0.5246627722
100	0.5230385191
101	0.5218949684
102	0.5203739659
103	0.5195553609
104	0.517960859
105	0.5169198915
106	0.5153909307
107	0.5140165064
108	0.5126206713
109	0.5114384554
110	0.5099904664
111	0.508757271
112	0.507737001
113	0.5065334422
114	0.5057405435
115	0.504801906
116	0.5037562653
117	0.5029269947
118	0.5013786883
119	0.5004575648
120	0.4991466093
121	0.4979331659
122	0.4967030523
123	0.4953549189
124	0.4941908682
125	0.4925912045
126	0.4915426664
127	0.4902367837
128	0.4890723848
129	0.4878716324
130	0.486721397
131	0.4856537726
132	0.484669182
133	0.4836437021
134	0.4824303049
135	0.4817051296
136	0.4805555037
137	0.4791285479
138	0.4784855815
139	0.4774822373
140	0.4764624109
141	0.475381153
142	0.4747313611
143	0.4737942044
144	0.4723195205
145	0.4711542562
146	0.4697850776
147	0.4688097532
148	0.4680385259
149	0.4669083057
150	0.4654966229
151	0.4648332151
152	0.4640206703
153	0.4627471295
154	0.4618045164
155	0.4608213495
156	0.4600251247
157	0.459293681
158	0.4580175084
159	0.4571658689
160	0.4565356377
161	0.4557247409
162	0.4544472046
163	0.45346455
164	0.4527486563
165	0.4512790095
166	0.450560179
167	0.449726147
168	0.4490530371
169	0.4483225816
170	0.4469374017
171	0.4464054809
172	0.4455212656
173	0.4441294469
174	0.4429540338
175	0.4419216268
176	0.4404686094
177	0.4394768499
178	0.4390250009
179	0.4381418905
180	0.4374255523
181	0.436359908
182	0.4357166868
183	0.4349286749
184	0.4337933707
185	0.4329533404
186	0.4321328485
187	0.4310647888
188	0.4298474866
189	0.4290286666
190	0.4282044519
191	0.4270723888
192	0.4257581324
193	0.4250524211
194	0.4241459494
195	0.4233806726
196	0.4226891259
197	0.4219416012
198	0.4209938913
199	0.420036505
200	0.4191228317
201	0.4183494268
202	0.4176836422
203	0.416676107
204	0.4161442782
205	0.4152436474
206	0.4140921094
207	0.4130448471
208	0.4121956151
209	0.4114829484
210	0.4110363221
211	0.4099607932
212	0.4093020078
213	0.4085816552
214	0.4079694295
215	0.4066961194
216	0.406035029
217	0.4049805822
218	0.4044598672
219	0.4035608506
220	0.4028190406
221	0.4021086358
222	0.4015471386
223	0.4004562324
224	0.399404622
225	0.3983861978
226	0.3976546979
227	0.3967377537
228	0.3958447227
229	0.3945472727
230	0.3940950659
231	0.3936026449
232	0.3929812835
233	0.3925219897
234	0.3917841034
235	0.3911071611
236	0.3905308005
237	0.3895795603
238	0.389053768
239	0.3883051946
240	0.3874727702
241	0.3871835133
242	0.3866519952
243	0.3859409834
244	0.3854626911
245	0.38483455
246	0.384155891
247	0.3834598985
248	0.382911578
249	0.3823348118
250	0.3814466812
251	0.380723566
252	0.3800662405
253	0.379280142
254	0.3785554616
255	0.378155072
256	0.3774808744
257	0.3766364592
258	0.3760074358
259	0.3754427637
260	0.374714933
261	0.3741141023
262	0.3732543737
263	0.3726800679
264	0.3719384008
265	0.3713752682
266	0.3708621236
267	0.3705341208
268	0.3696935784
269	0.3689940271
270	0.3681741567
271	0.3675738687
272	0.367080478
273	0.3666954055
274	0.3660962781
275	0.3657228657
276	0.3648018426
277	0.3642475464
278	0.3634597209
279	0.362795361
280	0.362051278
281	0.3612477265
282	0.3606325977
283	0.3599620598
284	0.3595540192
285	0.3590947434
286	0.3585299732
287	0.3578468632
288	0.3575215498
289	0.3572530563
290	0.3564587748
291	0.3555698189
292	0.3544775997
293	0.3540583937
294	0.3537194767
295	0.3529993881
296	0.352425311
297	0.3519180938
298	0.3509956789
299	0.3501338822
300	0.3491529904
301	0.3487326929
302	0.3484501473
303	0.3478898935
304	0.3467492599
305	0.3459976807
306	0.3453628421
307	0.3448314172
308	0.3444210744
309	0.3439746539
310	0.3432483234
311	0.3427764704
312	0.3422936876
313	0.3412129897
314	0.340439175
315	0.3401224229
316	0.3395653874
317	0.3389890303
318	0.3383029101
319	0.337404685
320	0.3369652714
321	0.336109797
322	0.3353706574
323	0.3348140696
324	0.3343291034
325	0.3337793212
326	0.3332205127
327	0.3328918741
328	0.3325633468
329	0.33174737
330	0.3308878152
331	0.3304144411
332	0.3298946884
333	0.3293696035
334	0.3288406428
335	0.3283884233
336	0.327552714
337	0.3270156618
338	0.3266741948
339	0.3259332783
340	0.3252413715
341	0.3247556348
342	0.3243274956
343	0.323485814
344	0.3229927873
345	0.3223601778
346	0.3217887412
347	0.3210896933
348	0.3203935491
349	0.3198377089
350	0.3193135037
351	0.3187688377
352	0.318187906
353	0.3174411147
354	0.3164722798
355	0.3160601648
356	0.3156666577
357	0.3151241699
358	0.3147937818
359	0.314214409
360	0.3137416865
361	0.3130114586
362	0.3125110246
363	0.3116226117
364	0.3112095724
365	0.3106510601
366	0.310028876
367	0.3094645525
368	0.3088830631
369	0.3084227257
370	0.3078934137
371	0.3073867417
372	0.3069485367
373	0.3067063478
374	0.306281072
375	0.3058735064
376	0.3055865504
377	0.3052777252
378	0.3049115589
379	0.3046292172
380	0.3042902034
381	0.3038215857
382	0.3030209684
383	0.3025941764
384	0.3022125782
385	0.3019423014
386	0.30161006
387	0.3008385028
388	0.300306148
389	0.2999053084
390	0.2994138593
391	0.2991213632
392	0.2987067345
393	0.297962893
394	0.2974451475
395	0.2970766843
396	0.2968140741
397	0.2963735389
398	0.2959394008
399	0.295346798
400	0.2949181716
401	0.2947047361
402	0.2940835402
403	0.2937554955
404	0.2931660222
405	0.2927135499
406	0.2922909189
407	0.2914807356
408	0.291002613
409	0.2903575748
410	0.2897891379
411	0.2892788838
412	0.2889290634
413	0.2883849681
414	0.2877182964
415	0.2873717906
416	0.2868621013
417	0.2864501703
418	0.2861018828
419	0.285736837
420	0.2852304312
421	0.2848331908
422	0.2845021245
423	0.2840391213
424	0.2837589833
425	0.283280868
426	0.2827693838
427	0.2823513732
428	0.281766517
429	0.2814541261
430	0.2811546749
431	0.280763344
432	0.2805145616
433	0.2803456367
434	0.2798811887
435	0.2795144085
436	0.2791848567
437	0.2786571621
438	0.2781802259
439	0.2776807546
440	0.2772775043
441	0.2769809382
442	0.2766390224
443	0.2762430232
444	0.2755436012
445	0.2752252299
446	0.2750021415
447	0.2744162518
448	0.2738650397
449	0.2735688619
450	0.2731996412
451	0.2726239662
452	0.2720179962
453	0.2717242418
454	0.2713212085
455	0.2708567227
456	0.2703530186
457	0.2697007828
458	0.269174431
459	0.2688440597
460	0.268634364
461	0.2683708212
462	0.2680915409
463	0.2677102832
464	0.26740273
465	0.2670513654
466	0.2668637478
467	0.2665129326
468	0.2661429692
469	0.2658197352
470	0.2652589949
471	0.2648700549
472	0.2644857813
473	0.2640460559
474	0.2638090303
475	0.2634089131
476	0.2629876078
477	0.2625941947
478	0.2621154172
479	0.2619408259
480	0.2616947516
481	0.2614202202
482	0.2611116389
483	0.2607783129
